COUNTRY,Country_1,PAYP,Pay_period,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
HUN,Hungary,M,Monthly,2019,2019,HUF,Forint,0,Units,null,null,149000,null,null,null
HUN,Hungary,M,Monthly,2020,2020,HUF,Forint,0,Units,null,null,161000,null,null,null
HUN,Hungary,M,Monthly,2021,2021,HUF,Forint,0,Units,null,null,166333,null,null,null
HUN,Hungary,M,Monthly,2022,2022,HUF,Forint,0,Units,null,null,200000,null,null,null
ROU,Romania,M,Monthly,1995,1995,RON,Romanian Leu,0,Units,null,null,7.25,null,null,null
ROU,Romania,M,Monthly,1996,1996,RON,Romanian Leu,0,Units,null,null,8.42,null,null,null
ROU,Romania,M,Monthly,1997,1997,RON,Romanian Leu,0,Units,null,null,18.31,null,null,null
ROU,Romania,M,Monthly,1998,1998,RON,Romanian Leu,0,Units,null,null,32.5,null,null,null
ROU,Romania,M,Monthly,1999,1999,RON,Romanian Leu,0,Units,null,null,41.67,null,null,null
ROU,Romania,M,Monthly,2000,2000,RON,Romanian Leu,0,Units,null,null,70.42,null,null,null
ROU,Romania,M,Monthly,2001,2001,RON,Romanian Leu,0,Units,null,null,133.33,null,null,null
ROU,Romania,M,Monthly,2002,2002,RON,Romanian Leu,0,Units,null,null,169.17,null,null,null
ROU,Romania,M,Monthly,2003,2003,RON,Romanian Leu,0,Units,null,null,250,null,null,null
ROU,Romania,M,Monthly,2004,2004,RON,Romanian Leu,0,Units,null,null,280,null,null,null
ROU,Romania,M,Monthly,2005,2005,RON,Romanian Leu,0,Units,null,null,310,null,null,null
ROU,Romania,M,Monthly,2006,2006,RON,Romanian Leu,0,Units,null,null,330,null,null,null
ROU,Romania,M,Monthly,2007,2007,RON,Romanian Leu,0,Units,null,null,390,null,null,null
ROU,Romania,M,Monthly,2008,2008,RON,Romanian Leu,0,Units,null,null,510,null,null,null
ROU,Romania,M,Monthly,2009,2009,RON,Romanian Leu,0,Units,null,null,600,null,null,null
ROU,Romania,M,Monthly,2010,2010,RON,Romanian Leu,0,Units,null,null,600,null,null,null
ROU,Romania,M,Monthly,2011,2011,RON,Romanian Leu,0,Units,null,null,670,null,null,null
ROU,Romania,M,Monthly,2012,2012,RON,Romanian Leu,0,Units,null,null,700,null,null,null
ROU,Romania,M,Monthly,2013,2013,RON,Romanian Leu,0,Units,null,null,775,null,null,null
ROU,Romania,M,Monthly,2014,2014,RON,Romanian Leu,0,Units,null,null,879.17,null,null,null
ROU,Romania,M,Monthly,2015,2015,RON,Romanian Leu,0,Units,null,null,1018.75,null,null,null
ROU,Romania,M,Monthly,2016,2016,RON,Romanian Leu,0,Units,null,null,1166.67,null,null,null
ROU,Romania,M,Monthly,2017,2017,RON,Romanian Leu,0,Units,null,null,1433.33,null,null,null
ROU,Romania,M,Monthly,2018,2018,RON,Romanian Leu,0,Units,null,null,1900,null,null,null
ROU,Romania,M,Monthly,2019,2019,RON,Romanian Leu,0,Units,null,null,2080,null,null,null
ROU,Romania,M,Monthly,2020,2020,RON,Romanian Leu,0,Units,null,null,2230,null,null,null
ROU,Romania,M,Monthly,2021,2021,RON,Romanian Leu,0,Units,null,null,2300,null,null,null
ROU,Romania,M,Monthly,2022,2022,RON,Romanian Leu,0,Units,null,null,2550,null,null,null
SVK,Slovak Republic,A,Annual,1995,1995,EUR,Euro,0,Units,null,null,975.9,null,null,null
SVK,Slovak Republic,A,Annual,1996,1996,EUR,Euro,0,Units,null,null,1050.59,null,null,null
SVK,Slovak Republic,A,Annual,1997,1997,EUR,Euro,0,Units,null,null,1075.48,null,null,null
SVK,Slovak Republic,A,Annual,1998,1998,EUR,Euro,0,Units,null,null,1194.98,null,null,null
SVK,Slovak Republic,A,Annual,1999,1999,EUR,Euro,0,Units,null,null,1374.23,null,null,null
SVK,Slovak Republic,A,Annual,2000,2000,EUR,Euro,0,Units,null,null,1633.14,null,null,null
SVK,Slovak Republic,A,Annual,2001,2001,EUR,Euro,0,Units,null,null,1804.42,null,null,null
SVK,Slovak Republic,A,Annual,2002,2002,EUR,Euro,0,Units,null,null,2024.497,null,null,null
SVK,Slovak Republic,A,Annual,2003,2003,EUR,Euro,0,Units,null,null,2269.47,null,null,null
SVK,Slovak Republic,A,Annual,2004,2004,EUR,Euro,0,Units,null,null,2463.65,null,null,null
SVK,Slovak Republic,A,Annual,2005,2005,EUR,Euro,0,Units,null,null,2628.96,null,null,null
SVK,Slovak Republic,A,Annual,2006,2006,EUR,Euro,0,Units,null,null,2818.16,null,null,null
SVK,Slovak Republic,A,Annual,2007,2007,EUR,Euro,0,Units,null,null,3077.08,null,null,null
SVK,Slovak Republic,A,Annual,2008,2008,EUR,Euro,0,Units,null,null,3226.45,null,null,null
SVK,Slovak Republic,A,Annual,2009,2009,EUR,Euro,0,Units,null,null,3546,null,null,null
SVK,Slovak Republic,A,Annual,2010,2010,EUR,Euro,0,Units,null,null,3692.4,null,null,null
SVK,Slovak Republic,A,Annual,2011,2011,EUR,Euro,0,Units,null,null,3804,null,null,null
SVK,Slovak Republic,A,Annual,2012,2012,EUR,Euro,0,Units,null,null,3926.4,null,null,null
SVK,Slovak Republic,A,Annual,2013,2013,EUR,Euro,0,Units,null,null,4052.4,null,null,null
SVK,Slovak Republic,A,Annual,2014,2014,EUR,Euro,0,Units,null,null,4224,null,null,null
